id,date,condition,temperature,humidity,visibility,wind_speed
98,12/21/2021,Heavy Rain,10.6,31.4,2.9,29.3
99,2/16/2023,Clear,0.5,28.6,3.7,24.6
100,1/28/2020,Clear,4.3,39.6,3.2,7.6
101,12/29/2024,Rain,14.8,72.4,3.5,24.5
102,1/2/2021,Snow,3.4,29.2,1.5,12.5
103,1/17/2021,Clear,39,64.9,7.3,16.2
104,11/7/2021,Fog,-4.9,34.6,2.7,18.8
105,11/11/2022,Snow,33.8,94.4,5.9,14
106,4/23/2020,Rain,-3.6,79.6,4,40.2
107,11/8/2023,Heavy Rain,5,74.6,7.4,30.4
108,5/22/2021,Heavy Rain,28.7,44,3.6,40.3
109,7/9/2022,Cloudy,39.3,37.6,2.2,6.5
110,1/30/2021,Fog,37.3,40.3,8.3,34.7
111,8/30/2022,Clear,10.4,56.4,7.4,0.6
112,6/14/2020,Snow,36,65.3,3.9,39.8
113,8/18/2021,Heavy Rain,38.6,76.8,10,32.2
114,7/1/2020,Clear,2.5,39.2,3.5,42.2
115,4/22/2022,Snow,-0.5,64.8,8.3,44.6
116,4/18/2024,Rain,26.8,75.8,4.5,18.4
117,9/14/2024,Rain,18.4,30.7,4.3,33.4
118,1/9/2020,Fog,13.1,65,8.8,14.1
119,11/25/2022,Rain,0.4,36.2,3,20.5
120,6/30/2021,Rain,-2.1,53.8,9.4,47
121,10/25/2022,Snow,29.4,23.5,8.6,23.7
122,8/15/2023,Cloudy,20.1,94.5,5,25.1
123,12/26/2023,Heavy Rain,36.8,20,7.6,32.1
124,10/27/2020,Cloudy,39.1,62.4,1.3,43.9
125,4/14/2020,Cloudy,3.5,76.8,3.4,1.3
126,12/21/2020,Clear,36,22.8,7.5,44.1
127,12/26/2024,Clear,34.6,62,3.9,10.4
128,9/22/2023,Fog,20.3,68.8,7.9,38.6
129,5/31/2020,Rain,44.6,80,8.3,15.4
130,2/27/2023,Fog,19.8,73.7,8.7,38.4
131,9/2/2020,Fog,3.8,39.7,7.1,36.9
132,1/6/2021,Cloudy,0,78.6,5.8,14.7
133,7/27/2022,Cloudy,24.2,32.7,4.5,17.8
134,2/24/2023,Snow,38.4,77.1,9.4,48.9
135,9/12/2022,Snow,2.8,55.2,4.6,29.7
136,7/28/2023,Snow,42.1,72.1,4,2.8
137,4/7/2021,Clear,8.1,79.7,7.8,4.3
138,12/25/2024,Heavy Rain,18.4,83.4,4.2,47
139,6/15/2024,Snow,37.2,47,9.8,24
140,1/4/2020,Clear,26.2,89.9,1.1,44
141,5/5/2021,Heavy Rain,42.4,36.3,10,38.9
142,5/15/2024,Heavy Rain,-4.6,83.2,2.4,10.5
143,7/2/2020,Heavy Rain,15.9,58.5,2.8,29.1
144,11/4/2023,Fog,23.8,85,7.1,30.9
145,11/6/2024,Cloudy,13.8,74,4.2,29.2
146,10/19/2023,Heavy Rain,23.7,23.2,1.6,35
147,12/24/2024,Cloudy,6.7,32,1.4,29.6
148,5/1/2024,Snow,12.8,40.4,9.2,30.7
149,11/17/2023,Rain,8.9,83.1,4.2,22.6
150,12/10/2024,Clear,17.7,75.1,3.5,18.3
151,5/25/2024,Clear,19.2,74.7,4,35.5
152,10/27/2022,Snow,16.4,22,7.9,24.8
153,11/29/2023,Heavy Rain,-2.3,73.6,1.3,48.3
154,1/24/2021,Heavy Rain,34.5,60,6,33.6
155,8/1/2022,Clear,23.9,84.2,1.4,31.1
156,5/11/2020,Clear,43.6,24.1,3.6,42.2
157,3/8/2022,Cloudy,24.5,28,8.2,47.5
158,8/29/2022,Heavy Rain,36.1,70.2,2.4,25.5
159,10/10/2020,Cloudy,24.8,59.4,2.6,12.4
160,2/4/2022,Rain,24.5,46.6,8.7,13.9
161,4/28/2020,Snow,28.1,46.2,3.3,11.6
162,9/25/2021,Rain,39.1,41.4,9.2,12
163,6/23/2020,Snow,41,76.1,3.8,27.9
164,4/30/2023,Heavy Rain,33.7,89.2,2.9,9.9
165,9/17/2023,Snow,8.1,30.5,5.6,4.5
166,11/2/2022,Cloudy,40.5,82,6.6,10.6
167,2/16/2022,Rain,1.1,21.7,6.9,27
168,11/6/2022,Heavy Rain,8.3,29.7,1.6,16.6
169,7/24/2020,Fog,28.2,27.9,5.5,9.8
170,12/1/2023,Rain,5.7,72.7,5.6,38.3
171,8/4/2022,Rain,30.5,21.3,9.4,21.5
172,9/13/2020,Fog,1.4,23.8,3,16.6
173,1/15/2023,Snow,1.8,74.6,8.3,39.9
174,11/12/2020,Cloudy,29,64.6,6.4,28.4
175,3/16/2023,Snow,25.7,84.4,6.5,39.8
176,3/24/2024,Clear,30.7,66.4,5.5,42.6
177,2/27/2022,Cloudy,4.1,88.6,10,39.8
178,3/25/2023,Rain,32.8,72.9,6.6,22.5
179,4/25/2020,Heavy Rain,27.7,47.6,9.9,1.9
180,6/14/2024,Rain,38.4,33.4,3.7,35.2
181,10/2/2022,Clear,6.2,64.3,9.6,17.3
182,2/6/2022,Rain,8.5,55.6,1.1,30
183,11/12/2023,Heavy Rain,19.6,55.7,6.3,44.4
184,1/28/2024,Heavy Rain,33.3,29.3,6.2,9.4
185,4/15/2023,Heavy Rain,10.4,72.4,2.8,14.2
186,6/30/2022,Cloudy,7.9,46,3.3,39.8
187,11/26/2024,Rain,26.3,36.3,7,46.7
188,9/8/2020,Heavy Rain,-3.2,33.3,0.8,8.9
189,5/15/2020,Fog,5,63.1,9.6,7.3
190,4/20/2020,Cloudy,7.9,24.3,3.7,30.1
191,12/5/2020,Clear,12.4,43.6,2.1,44.1
192,5/23/2023,Rain,32.4,67.2,0.7,18.6
193,3/13/2020,Snow,-2.3,94.3,4.8,25.6
194,2/26/2021,Heavy Rain,21.4,73.2,5.5,21.4
195,6/23/2024,Cloudy,41.4,78.1,2.4,6.4
196,11/4/2022,Cloudy,20.4,66.2,7.4,33.8
197,11/4/2023,Cloudy,2.5,90.6,9.7,48.5
198,2/17/2023,Snow,21.9,46.7,8.6,9.5
199,5/5/2023,Heavy Rain,3.5,57.4,9.8,1.2
200,1/2/2021,Rain,37.2,63.4,5,22.6
201,2/2/2020,Fog,6.1,35.6,3.9,38.7
202,1/29/2022,Clear,15.4,59.7,9.6,25.2
203,5/11/2021,Rain,20.2,93.2,4.7,39.3
204,8/23/2020,Clear,13.5,44.1,7.1,27.3
205,6/8/2020,Clear,-1.2,60.1,6.3,4.5
206,6/12/2022,Snow,38.8,74.3,5.7,27.5
207,11/28/2024,Snow,43.2,65.2,1.5,5.9
208,11/7/2022,Clear,10,56.3,3,27.6
209,8/29/2021,Clear,0.4,93.6,3.7,31.6
210,2/29/2020,Snow,40.8,77.6,2.4,46.7
211,6/8/2023,Cloudy,37,24.1,8.9,23
212,11/3/2021,Fog,5.2,66.5,8.8,36.5
213,7/4/2022,Clear,22.6,63.9,4.4,43.9
214,5/1/2020,Clear,17.2,51.7,4.4,30.6
215,6/3/2021,Snow,26.1,86.8,9.2,33.9
216,1/29/2022,Rain,18.5,47.9,6.6,30.9
217,5/3/2022,Heavy Rain,3.3,80.6,7,35.4
218,5/21/2023,Rain,23,77.9,3.4,22.5
219,7/12/2023,Fog,22.8,70.5,9.2,2.1
220,4/4/2021,Fog,-2.4,91.7,4.7,19.7
221,3/10/2020,Rain,36.3,85.1,3.6,10.4
222,11/21/2024,Fog,28.9,78.3,1.3,48.8
223,11/23/2022,Snow,36.4,66.6,5.2,38.9
224,8/16/2022,Rain,16.6,82.5,8.6,7.5
225,11/25/2023,Clear,-2.1,70.5,7.3,31.2
226,12/24/2021,Heavy Rain,18.2,69.7,2.9,5.5
227,1/21/2020,Cloudy,6.2,82.8,1.2,10
228,8/14/2021,Heavy Rain,0.7,21.6,3.7,6.7
229,8/5/2022,Rain,42.6,80.2,3.6,21.9
230,12/10/2024,Cloudy,43.2,32.9,1.3,30.2
231,12/24/2022,Snow,10.5,38.2,4.2,35
232,10/13/2022,Rain,40.1,62.1,8.1,32.9
233,8/17/2021,Rain,9.9,85.3,1.9,46
234,1/15/2020,Heavy Rain,11.6,48.6,9.4,33.1
235,3/8/2021,Cloudy,3.5,63.2,4.4,5.3
236,5/26/2021,Snow,11.9,20.1,3.4,43.1
237,1/29/2024,Fog,42.1,86.8,7.9,8.8
238,3/11/2022,Heavy Rain,42.3,90.4,8.1,2.6
239,1/2/2023,Clear,14.6,82.1,3.8,41.9
240,9/9/2022,Rain,34.8,57.8,6.5,27.5
241,3/29/2020,Fog,10.3,37.9,9.3,36.8
242,12/18/2020,Heavy Rain,3.9,27.2,4.7,20
243,8/3/2021,Rain,0.5,50.2,3.7,40.4
244,1/28/2023,Clear,-2,50.8,3,38
245,6/5/2020,Cloudy,-3.3,32.3,1,42.8
246,5/9/2020,Rain,2.2,28,1.8,27
247,12/23/2024,Fog,34.3,56.8,2,26.2
248,7/21/2024,Fog,20.7,86.6,5.3,45
249,12/19/2024,Rain,33.1,50.7,9.3,0.8
250,9/20/2020,Rain,11.8,23.5,1.5,18.7
251,2/10/2024,Cloudy,30.3,62.1,1.4,23.5
252,7/1/2021,Rain,35.4,28,8,15.8
253,8/21/2022,Clear,23.4,48.1,8.7,3
254,6/28/2021,Cloudy,34.9,45.7,5.6,28.3
255,4/8/2022,Clear,0.5,70.5,8.4,36.4
256,9/22/2022,Snow,28.5,70.2,8.2,5.5
257,7/23/2024,Fog,23.6,39.9,3.3,17.4
258,6/11/2020,Rain,35.7,77.8,4.4,25
259,8/29/2024,Heavy Rain,10.3,70.8,9.2,18.5
260,7/4/2024,Fog,35.5,72.7,3.9,11
261,1/28/2022,Heavy Rain,25.1,29.4,8.2,18.3
262,12/18/2021,Fog,44.4,41,1.4,26
263,8/9/2023,Clear,11.2,20.8,8.4,28.2
264,12/19/2020,Heavy Rain,41.6,70.4,3.2,19.9
265,5/7/2023,Cloudy,3,74,3.3,11.2
266,7/16/2021,Fog,30.8,64.4,4.8,21.6
267,9/7/2021,Heavy Rain,32.2,80.9,8.4,33
268,4/8/2020,Rain,7.5,78.9,6.3,32.6
269,11/20/2020,Heavy Rain,40.9,71.3,7.9,43.8
270,1/14/2023,Cloudy,13.9,63,1.8,25.6
271,7/1/2023,Clear,8.4,51.4,1,31.9
272,10/31/2024,Rain,34.9,28.6,9.2,41.3
273,1/10/2024,Clear,0.3,69.7,1,5.5
274,5/22/2020,Rain,1.9,91.1,2.8,26.9
275,4/19/2022,Heavy Rain,9.9,50.6,4.5,20.2
276,2/15/2021,Fog,31.8,29.4,3.9,12
277,3/17/2023,Clear,4.1,87.2,1.3,0.7
278,1/29/2021,Snow,40.6,69.3,4.3,45.6
279,5/9/2022,Heavy Rain,-2.2,76.9,4.4,44.6
280,9/12/2021,Snow,31.7,39.3,7.6,33.1
281,2/18/2022,Heavy Rain,8,30.3,1.1,3.8
282,4/20/2022,Cloudy,-4.3,65.8,0.9,18
283,7/20/2023,Clear,6.5,50.7,8.9,31.3
284,11/7/2024,Fog,-0.3,91.8,4.9,1.7
285,2/10/2020,Snow,36.5,40.8,4.6,38
286,7/3/2024,Cloudy,6.4,63.3,6,7
287,9/24/2021,Clear,44.8,91.3,7.4,36.9
288,6/15/2023,Cloudy,23.6,72.2,9.2,16.9
289,10/8/2022,Snow,6,58,3.7,48.3
290,7/5/2021,Clear,16.6,27.8,6.2,8
291,9/16/2024,Cloudy,41.2,22.9,0.5,32.9
292,3/4/2023,Rain,0.1,34.2,6.7,34.1
293,1/31/2020,Fog,41,73,9.7,24.2
294,12/20/2023,Fog,33.4,89.5,6.5,38.2
295,5/5/2024,Cloudy,25.7,76.6,7.2,2.8
296,10/17/2023,Snow,6.7,22.4,2.8,29.6
297,9/15/2022,Fog,33.9,69.9,7.5,5.3
298,3/16/2021,Snow,-4.9,27.5,1.8,23
299,6/4/2023,Heavy Rain,30.2,41.2,3.6,23.1
300,1/8/2023,Clear,5.3,28.6,2.3,29.8
301,6/11/2022,Clear,39.9,62.5,8.4,27.2
302,12/12/2024,Fog,5.6,94.7,1,25
303,8/17/2022,Cloudy,38.6,48.3,9.8,9.3
304,12/19/2023,Heavy Rain,26.1,83.6,5,5.2
305,9/12/2022,Rain,42.7,31.9,5.6,16.4
306,12/2/2024,Snow,19.7,77.4,1.2,39.3
307,2/15/2024,Rain,20.1,41.8,4.4,33.1
308,2/3/2023,Cloudy,34.9,25.5,5.3,49.2
309,1/30/2022,Rain,28.1,51.1,4.1,24.2
310,6/17/2022,Heavy Rain,28,20.2,9.1,15
311,12/23/2024,Clear,40.5,51.8,7.6,19
312,7/10/2020,Clear,40.6,35.6,0.7,31.9
313,10/10/2021,Rain,33.4,30.4,9.6,49
314,4/22/2024,Heavy Rain,15.6,90.8,8,28.5
315,7/2/2022,Cloudy,20.8,66.2,5.9,0.5
316,8/15/2022,Heavy Rain,3.7,80.4,1.6,41.1
317,1/25/2020,Fog,0.7,38.3,6.1,35.5
318,5/18/2022,Fog,28.5,41.8,5.9,43.8
319,9/12/2022,Clear,5.5,37.6,1.4,11.9
320,11/28/2024,Clear,-1.4,46.7,7.6,43.1
321,4/21/2020,Clear,21.9,20.9,7,23.6
322,9/18/2021,Heavy Rain,40.9,57.8,7.6,49.6
323,2/11/2022,Clear,29.2,72.9,3.3,11.6
324,11/7/2020,Clear,1,34.8,0.9,39.5
325,6/14/2024,Rain,4.8,77.7,2.9,17.4
326,4/15/2020,Rain,13.7,26.1,8.6,38.2
327,6/17/2021,Fog,19.3,67,5.7,6.5
328,8/15/2020,Heavy Rain,14.5,68.7,8.3,49.3
329,8/29/2024,Snow,19,81.7,9.2,16.1
330,8/12/2021,Heavy Rain,14,70.4,4.6,22.4
331,6/9/2022,Cloudy,8.3,26.8,3.1,14.5
332,2/19/2024,Cloudy,27.1,81.3,2.6,26.3
333,8/29/2021,Heavy Rain,17.8,28,3.6,24.5
334,12/7/2022,Clear,-3.8,83.2,2.7,21.1
335,4/11/2023,Cloudy,26.8,50.4,4.6,46.5
336,2/26/2024,Clear,-1.5,82.8,6.3,31.6
337,8/4/2024,Snow,-0.5,23.1,3.7,8.9
338,2/8/2023,Rain,39.4,75.2,2.7,26.7
339,7/2/2023,Snow,30,81.8,2.7,13.1
340,8/26/2020,Clear,16.3,72.3,7.1,49.1
341,2/25/2022,Fog,-0.4,69.1,2.6,7.5
342,4/15/2024,Rain,3.2,31.5,7.8,18.9
343,11/25/2021,Heavy Rain,22.4,81.2,7.3,30.8
344,6/13/2023,Cloudy,37.3,44.9,9.8,36.1
345,9/11/2021,Heavy Rain,22.2,86.6,1.9,40.9
346,8/13/2022,Snow,25.1,75.3,8.1,25.1
347,7/5/2020,Fog,20.1,63.3,8.8,30.6
348,9/2/2024,Heavy Rain,38.4,54.9,1.2,26.5
349,10/8/2020,Heavy Rain,25.5,67.6,5.6,44.9
350,10/14/2022,Cloudy,16,89.5,2.9,35.2
351,2/18/2024,Clear,44.3,91.3,4.6,45.9
352,6/22/2022,Clear,-3.6,26,2.5,15.7
353,10/28/2020,Rain,-4.6,51.6,3.9,19.7
354,8/3/2020,Rain,15.2,68.4,2.2,34.2
355,11/10/2021,Heavy Rain,22.4,46.7,5.7,8.8
356,7/25/2020,Snow,3.6,58.4,9.6,26.5
357,3/2/2021,Fog,35.8,81.4,3,1.8
358,7/31/2023,Heavy Rain,7.5,49.7,8.8,45.7
359,3/29/2022,Rain,39.8,44.5,8.1,5.3
360,5/2/2021,Clear,-2.8,73.2,6.6,1.2
361,2/27/2020,Fog,11,26.7,7.8,8.5
362,6/2/2023,Clear,9.7,47.9,7.2,24
363,5/8/2023,Clear,18.3,91.5,3.8,16.1
364,8/8/2023,Heavy Rain,43.5,93.4,8.3,34.7
365,8/27/2022,Rain,20.4,55.5,1.3,22.6
366,6/2/2023,Heavy Rain,2.6,32.8,3.4,30.2
367,1/10/2023,Snow,19.3,83.2,8.2,11.7
368,4/23/2020,Cloudy,13.2,92.4,6.4,40.2
369,7/11/2022,Cloudy,-1.5,46.7,1.7,6.9
370,11/30/2023,Rain,40.6,89,4.7,21.7
371,9/11/2023,Cloudy,17.8,70,0.8,40.7
372,12/29/2022,Clear,22.6,78.4,8.3,17.1
373,5/19/2020,Cloudy,4.1,64.3,5.7,35.6
374,2/1/2023,Rain,6.1,72.2,1.4,25.5
375,6/5/2022,Heavy Rain,7.3,42.7,4,33.9
376,8/8/2023,Cloudy,34.3,21.6,8.9,1.2
377,11/30/2021,Cloudy,10.4,35.6,1.8,30.4
378,4/11/2020,Heavy Rain,22.5,45.3,0.6,28.8
379,11/15/2021,Cloudy,29.2,57.4,3.6,38.3
380,6/1/2022,Snow,7.4,70,2.1,30.2
381,12/27/2020,Rain,11.4,45.9,5.3,16
382,1/25/2021,Clear,1.5,43.7,3,34.6
383,11/11/2020,Clear,23.6,27,3.1,13.8
384,6/2/2022,Snow,32.8,93.4,0.9,42.9
385,1/18/2021,Fog,11.9,75,6.5,29.3
386,1/17/2021,Cloudy,4.6,26.6,2.8,33.5
387,6/9/2023,Rain,36.3,26.6,6.6,1.7
388,11/8/2024,Snow,33.1,32,6.1,43.1
389,1/16/2023,Clear,17.9,36.1,9.2,38.3
390,8/14/2023,Cloudy,36.7,65.6,2.7,6.8
391,6/21/2020,Snow,16.5,85.8,1.7,41.2
392,12/7/2024,Fog,16.3,83.9,4.8,37
393,6/17/2022,Cloudy,-1.4,54.1,1.8,22
394,9/11/2023,Snow,22.9,73.6,5.1,20.9
395,11/6/2021,Snow,31.8,93.4,2.7,14.5
396,2/25/2020,Fog,28.2,76.4,7.7,17.5
397,12/20/2024,Rain,29.6,27.1,1.8,0.5
398,5/13/2024,Fog,20.6,85.6,9.8,10.9
399,12/30/2023,Heavy Rain,38.3,44.7,1.1,38.5
400,7/30/2023,Rain,9,68.8,8.3,17.7
401,1/23/2024,Fog,27.4,79.7,4.1,22.7
402,6/7/2021,Cloudy,23.4,88.4,2.7,14.3
403,9/14/2021,Rain,3.9,29.9,2,9.6
404,8/31/2024,Rain,36.4,89.7,0.6,33.6
405,3/6/2021,Rain,1.3,22.3,3.4,14.4
406,8/8/2023,Clear,-4.4,46.6,3.3,13.7
407,7/23/2024,Rain,36,57.5,7.4,40.1
408,9/23/2024,Rain,20,57,5.1,13.8
409,5/11/2021,Rain,8.1,53.6,7,13.3
410,12/26/2022,Snow,8.2,38,8.3,49.7
411,7/6/2024,Rain,26.9,81.4,3.7,18.4
412,5/22/2023,Fog,34.9,41.6,2,39.5
413,10/13/2022,Fog,23.9,47.3,6.2,24.6
414,5/2/2024,Snow,32.4,77.4,7.7,12.5
415,8/5/2020,Rain,41.8,20.2,8.1,34
416,7/31/2024,Cloudy,-0.3,51.6,2.6,38.4
417,8/19/2023,Clear,14.7,36,1.5,9.2
418,10/9/2024,Fog,32.2,80.2,3.1,38.1
419,3/2/2022,Snow,9.4,44.2,8.7,44.1
420,2/24/2022,Snow,28.2,45,7.1,0.6
421,9/22/2023,Clear,19.7,68.5,3.2,36.7
422,6/11/2020,Rain,31.5,63.6,1.6,37.7
423,7/31/2022,Snow,6.3,73,8.4,41.2
424,7/7/2024,Heavy Rain,33.4,43.2,6.4,3.7
425,2/14/2023,Fog,29.4,32.4,3.5,13.9
426,7/28/2023,Fog,6.1,90.1,4,43.9
427,12/20/2021,Fog,25.9,26.2,5.4,15.4
428,5/6/2023,Clear,12.1,20.9,1.8,36.5
429,11/5/2021,Clear,32,75.4,6.8,28.1
430,6/17/2022,Cloudy,20.7,25.6,7.2,17.6
431,8/25/2024,Snow,21.1,28.5,6.2,42.3
432,6/22/2022,Cloudy,25.3,28.8,4,13.9
433,3/26/2024,Clear,-2,74.8,6.9,21.3
434,4/29/2024,Heavy Rain,-2.8,69.8,8.7,7.8
435,8/4/2024,Cloudy,31.4,30.8,2.9,0.8
436,6/17/2024,Heavy Rain,33.9,37.8,1.7,42.1
437,7/4/2021,Heavy Rain,17.5,57.8,4.8,8.5
438,10/29/2022,Clear,13.5,25.8,4.4,41.7
439,9/2/2021,Heavy Rain,25.8,75.5,1.8,30.1
440,7/3/2024,Snow,41.6,71.7,9.2,6.8
441,7/12/2021,Rain,-3.3,50.4,3.2,41.6
442,10/22/2024,Rain,32.4,57.1,6.4,32
443,2/17/2024,Cloudy,29.5,33.7,5.9,25.3
444,3/10/2022,Snow,21,47.2,8.2,17.1
445,4/21/2022,Clear,13.5,69.4,8.6,16.1
446,1/14/2022,Heavy Rain,33.1,63.2,3.9,9.8
447,6/23/2023,Rain,35.8,70.6,1.3,26.4
448,7/4/2023,Snow,28.2,66.6,0.9,14
449,9/19/2024,Fog,15.7,46.8,2.1,46.3
450,12/9/2023,Heavy Rain,24.3,34.6,5.5,18.3
451,2/8/2021,Clear,17.2,81,1.8,41
452,10/13/2021,Fog,38.1,49.9,1.8,13.9
453,9/14/2020,Snow,1,56.3,2.7,44.1
454,7/30/2021,Heavy Rain,14.3,74.9,3,35.7
455,11/16/2023,Cloudy,23,82,3.4,18.2
456,6/25/2022,Clear,-1.7,90.8,3.4,39.9
457,4/11/2021,Fog,31.3,75.9,3.1,49.5
458,2/27/2024,Clear,13.6,74.1,1.6,2.6
459,8/23/2024,Snow,44.7,29.7,5.3,32.2
460,11/8/2020,Clear,0.7,27.7,1,4.4
461,1/10/2022,Heavy Rain,42.1,57.9,4.4,2.2
462,5/8/2023,Snow,14.6,30.2,2,2.2
463,12/8/2020,Snow,-3.4,27.9,5.6,16.3
464,11/30/2020,Cloudy,-0.7,30.5,7.9,6.8
465,3/23/2020,Rain,30.8,90.7,1.7,28.2
466,4/20/2024,Cloudy,24,86.6,9.3,12.6
467,1/8/2021,Cloudy,0.5,84.9,9.1,38.9
468,6/11/2024,Clear,-4.4,58.7,9.5,49
469,9/2/2024,Fog,2.3,89.1,0.9,0.4
470,2/18/2024,Rain,13.2,86.9,9.6,5.6
471,9/21/2023,Snow,22.7,68.2,8.8,10.6
472,3/10/2024,Fog,19.6,91.3,3.2,14.9
473,11/1/2022,Snow,24.5,54,2,35
474,9/28/2023,Snow,24,25.3,4.3,38.9
475,2/6/2024,Clear,15.5,70,4.2,19.6
