id,name,type,traffic_volume,speed_limit,lanes,latitude,longitude
71,NEAR NATHOWAL STIOP BHIMBER ROAD GUJRAT Pakistan,Residential,4694,30,4,32.591214,74.08482
72,SABZI MANDI SHAH JAHANGIR ROAD GUJRAT Pakistan,Rural,1719,40,4,32.532608,74.019961
73,NEAR TARIKHA BRIDGE SHADIWAL ROAD GUJRAT Pakistan,Rural,3332,120,2,32.517027,74.136867
74,NEAR GORALI STOP GUJRAT Pakistan,Rural,3646,40,2,32.532706,74.103638
75,ISLAMIA SCHOOL MACHLI CHOWK GUJRAT Pakistan,Rural,3578,120,4,32.548745,74.198393
76,SARWAR GOLD PLAZA GUJRAT Pakistan,Highway,4606,120,6,32.665449,74.070845
77,AREA GATE GUJRAT Pakistan,Rural,974,100,5,32.531647,74.053125
78,EIDGAH MASJID GUJRAT Pakistan,Rural,4662,80,3,32.627191,74.111312
79,VILLAGE REHMANIA GUJRAT Pakistan,Residential,2925,30,4,32.520355,74.155398
80,RAMTALAI CHOWK GUJRAT Pakistan,Arterial,2167,60,5,32.587642,74.009773
81,BOKEN MORE GUJRAT Pakistan,Highway,2229,80,2,32.605746,74.03452
82,MOHALLAH KALU PURA GUJRAT Pakistan,Rural,1151,120,5,32.63923,74.086114
83,POLICE LINE GUJRAT Pakistan,Highway,756,120,2,32.517818,74.087028
84,VILLAGE GILLANWALA GUJRAT Pakistan,Rural,2028,100,2,32.694881,74.159436
85,NEAR PIPS SCHOOL GUJRAT Pakistan,Highway,4275,50,6,32.574052,74.091266
86,NEAR GTS CHOWK SGD ROAD GUJRAT Pakistan,Arterial,1937,120,6,32.520266,74.029679
87,NEAR EID GAH GT RAOD GUJRAT Pakistan,Highway,952,120,4,32.598221,74.077228
88,PSO PUMP NEAR KATHALA GUJRAT Pakistan,Rural,2363,80,4,32.586246,74.165665
89,JULAHI MOH JALA PUR JATTAN GUJRAT GUJRAT Pakistan,Highway,323,30,4,32.564011,74.183868
90,"NEAR RATI GRID STATION, GUJRAT Pakistan",Rural,938,60,3,32.647825,74.054718
91,GTS CHOWK GUJRAT Pakistan,Highway,671,40,6,32.671046,74.175546
92,"NEAR PUNJAB COLLEGE JALA PUR JATTAN GUJRAT ROAD, GUJRAT Pakistan",Highway,4720,40,2,32.627331,74.146811
93,"VILLAGE SAHANWAL KALAN, GUJRAT Pakistan",Highway,4047,40,4,32.64047,74.132928
94,"CHAK MANJOO JALA PUR JATTAN GUJRAT ROAD,GUJRAT Pakistan",Rural,1105,60,5,32.588338,74.17262
95,"SAIN RAJA PHATAK, GUJRAT Pakistan",Rural,3230,50,2,32.678553,74.015786
96,"JAMNA STOP NEAR SHAHEEN CHOWK, GUJRAT Pakistan",Rural,1557,50,6,32.568435,74.191817
97,"SAIN RAJA PHATAK, GUJRAT Pakistan",Residential,2307,60,6,32.650266,74.027845
98,"NAYIAN WALA QABRISTAAN MOH. SULTAN PURA, GUJRAT Pakistan",Highway,4211,120,6,32.651259,74.038911
99,RHC SHADIWAL GUJRAT Pakistan,Arterial,2727,80,4,32.696013,74.08581
100,GTS CHOWK GUJRAT Pakistan,Rural,4482,80,6,32.540199,74.09924
101,VILAGE NAROWALI GUJRAT Pakistan,Residential,242,30,4,32.610735,74.02499
102,BOLAY CHOWK GUJRAT Pakistan,Highway,1485,60,2,32.650008,74.04779
103,"FAWARA CHOWK, GUJRAT Pakistan",Residential,3420,50,5,32.579596,74.148318
104,NEAR AKHTAR HOTEL GT ROAD GUJRAT Pakistan,Highway,3049,40,5,32.534618,74.136643
105,SERVICE MORR GUJRAT Pakistan,Rural,2925,50,3,32.680561,74.061176
106,DHOOL KHURD DINGA ROAD GUJRAT Pakistan,Rural,4650,100,2,32.523803,74.034419
107,"NEAR SHELL PUMP JALA PUR JATTAN GUJRAT ROAD, GUJRAT Pakistan",Highway,4115,50,6,32.576976,74.142901
108,JAIL CHOWK GUJRAT Pakistan,Arterial,2859,80,6,32.537557,74.096964
109,"VILLAGE KOT QUTAB DIN, GUJRAT Pakistan",Residential,3766,80,2,32.697951,74.142324
110,"NERA AMIN FAN G.T.ROAD, GUJRAT Pakistan",Rural,3374,50,6,32.628449,74.056666
111,MIAN G CNG NEAR SHAHEEN CHOWK GUJRAT Pakistan,Residential,2988,30,3,32.535764,74.039189
112,MOIN UD DIN PUR STOP JALA PUR JATTAN GUJRAT ROAD GUJRAT Pakistan,Arterial,2254,100,6,32.69982,74.178039
113,BHU HARRIAWALA GUJRAT Pakistan,Highway,2191,120,3,32.59771,74.025648
114,NEAR SAMMA STOP GUJRAT Pakistan,Residential,4240,80,2,32.571974,74.120294
115,SHAHABDIWAL STOP DINGA ROAD GUJRAT Pakistan,Residential,2555,50,6,32.530124,74.096476
116,SAEEN RAJA PHATAK GUJRAT Pakistan,Arterial,3858,100,3,32.504687,74.022881
117,DEWNA MANDI GUJRAT Pakistan,Arterial,2285,40,4,32.523828,74.174843
118,NEAR FAWARA CHOWK GUJRAT Pakistan,Highway,2472,80,6,32.673295,74.002286
119,MANGOWAL SHARQI GUJRAT Pakistan,Highway,3332,60,2,32.671287,74.141475
120,UDHOWAL KHURD VILLAGE GUJRAT Pakistan,Rural,1134,50,2,32.601662,74.025489
121,SOHAL KALAN GUJRAT Pakistan,Arterial,1866,100,2,32.506185,74.115598
122,"SAIN RAJA PHATAK, GUJRAT Pakistan",Rural,1890,40,6,32.564411,74.111639
123,SHAH MARKET GUJRAT Pakistan,Arterial,2696,60,2,32.665181,74.142637
124,DERU GUNNA PHATAK NEAR IRFAN AUTO GUJRAT Pakistan,Rural,4165,40,2,32.608302,74.070509
125,GORALA VILLAGE GUJRAT Pakistan,Highway,3048,60,5,32.546436,74.024599
126,NEAR WAHID TRUST HOSPITAL GUJRAT Pakistan,Rural,2793,40,5,32.545371,74.088958
127,GTS CHOWK GUJRAT Pakistan,Rural,4970,30,3,32.578527,74.162503
128,AMIR COLONY GUJRAT Pakistan,Residential,2064,80,5,32.607142,74.03197
129,AKHTAR SHAH COLONY SHADIWAL ROAD GUJRAT Pakistan,Arterial,1800,60,6,32.51478,74.067192
130,MADINA BAZAR NEAR STAFF GALA GUJRAT Pakistan,Highway,3999,80,3,32.502052,74.13844
131,NEAR INAYAT HOSPITAL SARGODHA ROAD GUJRAT Pakistan,Highway,3115,60,4,32.550298,74.064323
132,MASTER QULFI NEAR PSO PUMP GULZAR E MADINA ROAD GUJRAT Pakistan,Rural,4592,80,5,32.669169,74.104223
133,JAMAL PUR SYEDAN GUJRAT Pakistan,Rural,2699,100,6,32.647366,74.183077
134,GILLANWALA PSO PUMP GUJRAT Pakistan,Arterial,896,80,3,32.634203,74.003633
135,"SAIN RAJA PHATAK, GUJRAT Pakistan",Arterial,810,50,5,32.547922,74.12742
136,BAGHDAD COLONY GUJRAT Pakistan,Arterial,152,80,3,32.640393,74.183479
137,NEAR CHILDREN PARK GUJRAT Pakistan,Rural,1613,40,6,32.593826,74.057799
138,NEAR EID GAH MASJID GT ROAD GUJRAT Pakistan,Arterial,812,30,2,32.618689,74.164904
139,CS 1122 GUJRAT Pakistan,Highway,2512,80,2,32.581285,74.012713
140,CS 1122 GUJRAT Pakistan,Arterial,3614,40,6,32.609863,74.163004
141,SHAHBAZ SHAREEF PARK GUJRAT Pakistan,Residential,4019,120,2,32.520626,74.108731
142,NEAR BEOWALI STOP JALA PUR JATTAN GUJRAT ROAD GUJRAT Pakistan,Rural,3970,30,6,32.583138,74.031903
143,MOHALLHA TIBBI GORIAN GUJRAT Pakistan,Rural,2065,120,2,32.533119,74.167121
144,DITTAYWAL DINGA ROAD GUJRAT Pakistan,Rural,4404,30,3,32.527734,74.135096
145,SHAHEEN CHOWK GUJRAT Pakistan,Arterial,4711,100,6,32.651698,74.086904
146,VILLAGE KALRA KALAN GUJRAT Pakistan,Arterial,4816,30,6,32.513632,74.091311
147,FOUR STAR MARRIAGE HALL GUJRAT Pakistan,Residential,650,120,3,32.609026,74.041798
148,JALYANI STOP GUJRAT Pakistan,Highway,3720,50,5,32.59711,74.150367
149,NEAR SARDAR CNG GUJRAT Pakistan,Residential,478,100,6,32.534982,74.138749
150,LIAQAT HOSPITAL SHAHDOLA CHOWKI GUJRAT Pakistan,Highway,2347,60,3,32.504415,74.118562
151,RAILWAY ROAD GUJRAT Pakistan,Residential,4816,100,2,32.669673,74.05593
152,NEAR CHAH TARHING QABRISTAN GUJRAT Pakistan,Arterial,2379,30,6,32.695758,74.128153
153,"ADMORE PUMP , NEAR KULAYWAL GUJRAT Pakistan",Arterial,2988,60,5,32.52942,74.094782
154,NEAR PAKHOWAL VILLAGE BAND ROAD GUJRAT Pakistan,Highway,4919,30,2,32.55412,74.096755
155,NEAR SABZI MANDI SHAH JAHANGIR ROAD GUJRAT Pakistan,Residential,1244,60,3,32.686926,74.034629
156,GAREEB PURA ROAD JAIL CHOWK GUJRAT Pakistan,Residential,4504,100,2,32.622988,74.131311
157,WAPDA HOSPITAL SGD ROAD GUJRAT Pakistan,Residential,712,60,4,32.632456,74.191633
158,MACHLI CHOWK GUJRAT Pakistan,Rural,1185,40,2,32.698989,74.107279
159,SHIEKH PUR JALA PUR JATTAN GUJRAT ROAD GUJRAT Pakistan,Rural,4037,40,5,32.699266,74.047731
160,NEAR SARWAR HOSPITAL RAILWAY ROAD GUJRAT Pakistan,Residential,622,120,4,32.532646,74.071561
161,NEAR NEW GORALA MUSA PUMP GUJRAT Pakistan,Arterial,605,120,3,32.697758,74.11434
162,RAMTALAI CHOWK GUJRAT Pakistan,Highway,674,60,5,32.573675,74.021103
163,KALRA KALAN NEAR GOVT GIRLS SCHOOL GUJRAT Pakistan,Highway,3893,50,5,32.588206,74.198268
164,NEAR CHANNA CHOWK GUJRAT Pakistan,Arterial,2089,100,4,32.54183,74.136831
165,NEAR REST HOUSE JAIL ROAD GUJRAT Pakistan,Rural,3529,50,5,32.624346,74.131425
166,KIPS ACADEMY ALI PURA ROAD GUJRAT Pakistan,Residential,3632,50,2,32.543467,74.071632
167,NEAR KHEWA STOP JALA PUR JATTAN GUJRAT ROAD GUJRAT Pakistan,Residential,3236,80,2,32.640589,74.167082
168,NEAR MALHO KHOKHAR GUJRAT Pakistan,Residential,1200,60,5,32.569864,74.124872
169,SHADIWAL ROAD NEAR SHADABIA INSTITUE GUJRAT Pakistan,Rural,375,40,2,32.590909,74.16691
170,SAHNWAL KALAN GUJRAT Pakistan,Residential,3446,80,3,32.665859,74.150202
171,MADINA BAZAR NEAR STAFF GALA GUJRAT Pakistan,Rural,2008,40,3,32.617627,74.192596
172,SHALIMAR TOWN GUJRAT Pakistan,Residential,2855,100,5,32.680107,74.04713
173,NEAR CHAH TARHING QABRISTAN GUJRAT Pakistan,Residential,1890,120,3,32.619644,74.154677
174,SHADMAN COLONY GUJRAT Pakistan,Highway,1524,40,5,32.544081,74.007444
175,BOLAY COWK JALA PUR JATTAN GUJRAT ROAD GUJRAT Pakistan,Highway,1931,120,5,32.643043,74.133367
176,CS 1122 GUJRAT Pakistan,Rural,605,60,2,32.622752,74.168489
177,MOH ISLAM NAGAR GUJRAT Pakistan,Highway,759,80,5,32.660538,74.013223
178,SERVICE FACTORY GUJRAT Pakistan,Rural,4895,80,3,32.553396,74.017557
179,MOHALLAH MUSLIMABAD GUJRAT Pakistan,Residential,2890,60,5,32.652909,74.032929
180,YOUNAS PETROLEUM GUJRAT Pakistan,Arterial,3790,120,4,32.526343,74.187283
181,VILLAGE GILLANWALA GUJRAT Pakistan,Rural,4299,50,3,32.626729,74.023701
182,NEAR SADAR THANA GUJRAT Pakistan,Rural,619,40,5,32.668822,74.176142
183,VILLAGE CHANDAR JALA PUR JATTAN GUJRAT GUJRAT Pakistan,Rural,2602,80,5,32.664991,74.149255
184,NEAR DHERU GUNA GUJRAT Pakistan,Highway,2259,120,3,32.582573,74.186442
185,NEAR NAYYAR INDUSTRY GUJRAT Pakistan,Arterial,3173,30,5,32.562959,74.184351
186,NEAR GEPCO OFFICE G T ROAD GUJRAT Pakistan,Highway,4200,80,5,32.637934,74.193353
187,NEAR ANSARI CNG HIGHWAY GUJRAT Pakistan,Highway,1374,50,2,32.685127,74.111167
188,GHARI AHMEDABAD GUJRAT Pakistan,Arterial,4670,30,5,32.509056,74.150363
189,MOHLA STOP HIGHWAY GUJRAT Pakistan,Arterial,2031,50,4,32.513818,74.173863
190,NEAR SABZI MANDI JALAL PUR TO KHARIAN ROAD GUJRAT Pakistan,Highway,109,40,3,32.506669,74.044763
191,HUSSSAIN COLONY GUJRAT Pakistan,Arterial,685,60,2,32.626435,74.114705
192,MOHALLA HAYAT PURA SARGODHA ROAD GUJRAT Pakistan,Arterial,1318,80,6,32.686608,74.091719
193,"NEAR SESSION COURT, GUJRAT Pakistan",Rural,1526,60,3,32.548191,74.112956
194,BEOWALI NEAR CHENAB COLLEGE JALA PUR JATTAN GUJRAT ROAD GUJRAT Pakistan,Arterial,526,120,2,32.530576,74.040751
195,NEW MODEL TOWN BHIMBER ROAD GUJRAT Pakistan,Residential,1435,30,3,32.553527,74.008163
196,RAILWAY ROAD GUJRAT Pakistan,Arterial,1168,50,2,32.596644,74.060668
197,EID GAH JALA PUR JATTAN GUJRAT GUJRAT Pakistan,Rural,458,30,5,32.55377,74.170963
198,YOUNAS PETROLEUM GUJRAT Pakistan,Arterial,2153,60,5,32.621826,74.127225
199,SHAH FAISAL GATE GUJRAT Pakistan,Arterial,4948,30,3,32.592721,74.117175
200,CHENAB COLLEGE GUJRAT Pakistan,Highway,2297,50,2,32.634483,74.111598
201,VILLAGE BHADANA FATEH PUR ROAD GUJRAT Pakistan,Rural,1890,40,6,32.564411,74.111639
202,DEONA MANDI GT ROAD GUJRAT Pakistan,Arterial,2696,60,2,32.665181,74.142637
203,MADINA BAZAR NEAR STAFF GALA GUJRAT Pakistan,Rural,4165,40,2,32.608302,74.070509
204,NEAR KANG SAHALI SARGODHA ROAD GUJRAT Pakistan,Highway,3048,60,5,32.546436,74.024599
205,KALRA KALAN NEAR GOVT GIRLS SCHOOL GUJRAT Pakistan,Rural,2793,40,5,32.545371,74.088958
206,BOLAY BRIDGE JALA PUR JATTAN GUJRAT ROAD GUJRAT Pakistan,Rural,4970,30,3,32.578527,74.162503
207,NEAR RAMTALI CHOWK GUJRAT Pakistan,Residential,2064,80,5,32.607142,74.03197
208,SHEIKH PUR MAIN STOP GUJRAT Pakistan,Arterial,1800,60,6,32.51478,74.067192
209,NEAR DR. SALEEM BUTT CLINIC OLD SABZI MANDI GUJRAT Pakistan,Highway,3999,80,3,32.502052,74.13844
210,DAR E ARQAM SCHOOL SHADIWAL ROAD GUJRAT Pakistan,Highway,3115,60,4,32.550298,74.064323
211,NEAR SERVICE MORE REHMAN SHAHEED ROAD GUJRAT Pakistan,Rural,4592,80,5,32.669169,74.104223
212,MOKRIYAN STOP FATEH PUR ROAD GUJRAT Pakistan,Rural,2699,100,6,32.647366,74.183077
213,NEAR UMAR GENERAL STOPE MUGHAL COLONY GUJRAT Pakistan,Rural,1890,40,6,32.564411,74.111639
214,NEAR FAWARA CHOWK GUJRAT Pakistan,Arterial,2696,60,2,32.665181,74.142637
215,NEAR NOOR MARQUE  GUJRAT Pakistan,Rural,4165,40,2,32.608302,74.070509
216,OVERHEAD BRIDGE STAFF GALA GUJRAT Pakistan,Highway,3048,60,5,32.546436,74.024599
217,NEAR ZAHOOR ELAHI PALACE GUJRAT Pakistan,Rural,2793,40,5,32.545371,74.088958
218,HUSSAIN MARRIAGE HALL HIGHWAY GUJRAT Pakistan,Rural,4970,30,3,32.578527,74.162503
219,CHAK BHOLA JALA PUR JATTAN GUJRAT ROAD GUJRAT Pakistan,Residential,2064,80,5,32.607142,74.03197
220,NEAR AKHTAR HOTEL GT ROAD GUJRAT Pakistan,Arterial,1800,60,6,32.51478,74.067192
221,NEAR CHECHIAN STOP DINGA ROAD GUJRAT Pakistan,Highway,3999,80,3,32.502052,74.13844
222,NEAR PSO PUMP SHEIKH SUKHA GUJRAT Pakistan,Highway,3115,60,4,32.550298,74.064323
223,NEAR SUFI HOTEL GT ROAD GUJRAT Pakistan,Rural,4592,80,5,32.669169,74.104223
224,BHIMBER ROAD GUJRAT Pakistan #224,Residential,4391,30,2,32.5730725,74.1005044
225,BHIMBER ROAD GUJRAT Pakistan #225,Rural,3519,40,6,32.5730725,74.1005044
226,CHOWK AREA GUJRAT Pakistan #226,Highway,3418,40,1,32.5730725,74.1005044
227,SERVICE ROAD GUJRAT Pakistan #227,Rural,2715,100,5,32.5730725,74.1005044
228,NEAR PSO PUMP GUJRAT Pakistan #228,Highway,4885,30,4,32.5730725,74.1005044
229,VILLAGE LINK ROAD GUJRAT Pakistan #229,Residential,1439,50,4,32.5730725,74.1005044
230,NEAR BUS STOP GUJRAT Pakistan #230,Residential,3451,50,4,32.6377717,74.1958929
231,CHOWK AREA GUJRAT Pakistan #231,Arterial,4398,50,1,32.5730725,74.1005044
232,BHIMBER ROAD GUJRAT Pakistan #232,Rural,4227,30,1,32.6377717,74.1958929
233,NEAR PSO PUMP GUJRAT Pakistan #233,Highway,1755,100,1,32.5730725,74.1005044
234,DINGA ROAD GUJRAT Pakistan #234,Residential,3281,100,2,32.5730725,74.1005044
235,SERVICE ROAD GUJRAT Pakistan #235,Highway,2034,50,4,32.5615005,74.0806009
236,UNIVERSITY ROAD GUJRAT Pakistan #236,Arterial,2229,40,6,32.6377717,74.1958929
237,DINGA ROAD GUJRAT Pakistan #237,Rural,4067,40,1,32.6377717,74.1958929
238,GT ROAD GUJRAT Pakistan #238,Residential,2111,80,4,32.6377717,74.1958929
239,VILLAGE LINK ROAD GUJRAT Pakistan #239,Arterial,3991,120,4,32.5730725,74.1005044
240,NEAR SCHOOL ROAD GUJRAT Pakistan #240,Arterial,4113,100,4,32.6377717,74.1958929
241,BHIMBER ROAD GUJRAT Pakistan #241,Highway,2009,50,6,32.629583,74.079007
242,NEAR PSO PUMP GUJRAT Pakistan #242,Rural,3405,50,6,32.6377717,74.1958929
243,NEAR SCHOOL ROAD GUJRAT Pakistan #243,Arterial,4560,100,3,32.5640348,74.0575465
244,GT ROAD GUJRAT Pakistan #244,Rural,3931,40,5,32.5615005,74.0806009
245,JALALPUR JATTAN ROAD GUJRAT Pakistan #245,Highway,1330,50,6,32.5615005,74.0806009
246,BHIMBER ROAD GUJRAT Pakistan #246,Residential,5005,30,5,32.5730725,74.1005044
247,UNIVERSITY ROAD GUJRAT Pakistan #247,Arterial,5021,30,4,32.5679042,74.1517651
248,GT ROAD GUJRAT Pakistan #248,Residential,5028,100,2,32.5730725,74.1005044
249,BHIMBER ROAD GUJRAT Pakistan #249,Residential,4486,30,2,32.5640348,74.0575465
250,GT ROAD GUJRAT Pakistan #250,Highway,831,80,1,32.5730725,74.1005044
251,VILLAGE LINK ROAD GUJRAT Pakistan #251,Rural,4990,120,6,32.5730725,74.1005044
252,GT ROAD GUJRAT Pakistan #252,Residential,789,50,5,32.5730725,74.1005044
253,VILLAGE LINK ROAD GUJRAT Pakistan #253,Residential,3021,30,1,32.5730725,74.1005044
254,BHIMBER ROAD GUJRAT Pakistan #254,Residential,3827,30,6,32.5730725,74.1005044
255,JALALPUR JATTAN ROAD GUJRAT Pakistan #255,Highway,1303,60,4,32.5730725,74.1005044
256,CHOWK AREA GUJRAT Pakistan #256,Highway,4793,30,6,32.5730725,74.1005044
257,CHOWK AREA GUJRAT Pakistan #257,Residential,2776,60,5,32.5679042,74.1517651
258,JALALPUR JATTAN ROAD GUJRAT Pakistan #258,Residential,2457,120,4,32.5730725,74.1005044
259,BHIMBER ROAD GUJRAT Pakistan #259,Rural,4000,100,1,32.5730725,74.1005044
260,CHOWK AREA GUJRAT Pakistan #260,Arterial,1774,30,5,32.6377717,74.1958929
261,SERVICE ROAD GUJRAT Pakistan #261,Residential,1074,80,6,32.5730725,74.1005044
262,JALALPUR JATTAN ROAD GUJRAT Pakistan #262,Arterial,4991,80,5,32.5615005,74.0806009
263,BHIMBER ROAD GUJRAT Pakistan #263,Arterial,1597,60,4,32.5615005,74.0806009
264,CHOWK AREA GUJRAT Pakistan #264,Rural,3630,50,1,32.5615005,74.0806009
265,NEAR SCHOOL ROAD GUJRAT Pakistan #265,Residential,978,100,3,32.5730725,74.1005044
266,NEAR BUS STOP GUJRAT Pakistan #266,Residential,4956,60,1,32.5640348,74.0575465
267,NEAR BUS STOP GUJRAT Pakistan #267,Highway,2587,80,2,32.5640348,74.0575465
