id,latitude,longitude,datetime,date,time,day_of_week,hour,weather,road_type,severity,casualties,injuries,fatalities,vehicles_involved,description
57,32.682225,74.10537,2022-03-26T17:09:00,2022-03-26,17:09:00,Saturday,17,Heavy Rain,Intersection,Moderate,"{'injured': 4, 'dead': 0, 'total': 4}",4,0,2,Moderate collision on intersection in heavy rain weather
58,32.529514,74.137524,2024-04-21T11:31:00,2024-04-21,11:31:00,Sunday,11,Clear,Residential,Moderate,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Moderate collision on residential in clear weather
59,32.603592,74.010044,2021-12-21T20:51:00,2021-12-21,20:51:00,Tuesday,20,Clear,Residential,Moderate,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Moderate collision on residential in clear weather
60,32.633516,74.197578,2025-02-12T19:08:00,2025-02-12,19:08:00,Wednesday,19,Clear,Arterial,Fatal,"{'injured': 4, 'dead': 3, 'total': 7}",4,3,4,Fatal accident on arterial during clear weather
61,32.609574,74.179442,2025-08-29T08:27:00,2025-08-29,08:27:00,Friday,8,Cloudy,Rural,Moderate,"{'injured': 4, 'dead': 0, 'total': 4}",4,0,2,Moderate collision on rural in cloudy weather
62,32.596919,74.047849,2023-02-09T09:49:00,2023-02-09,09:49:00,Thursday,9,Rain,Rural,Moderate,"{'injured': 4, 'dead': 1, 'total': 5}",4,1,3,Moderate collision on rural in rain weather
63,32.678605,74.016116,2022-08-18T03:17:00,2022-08-18,03:17:00,Thursday,3,Clear,Arterial,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,1,Minor arterial accident during clear conditions
64,32.596285,74.118152,2024-04-17T13:44:00,2024-04-17,13:44:00,Wednesday,13,Clear,Intersection,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor intersection accident during clear conditions
65,32.67779,74.105396,2024-08-30T21:03:00,2024-08-30,21:03:00,Friday,21,Clear,Residential,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Minor residential accident during clear conditions
66,32.545972,74.1478,2024-04-07T09:30:00,2024-04-07,09:30:00,Sunday,9,Clear,Arterial,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor arterial accident during clear conditions
67,32.67058,74.096723,2025-06-22T20:14:00,2025-06-22,20:14:00,Sunday,20,Clear,Residential,Moderate,"{'injured': 4, 'dead': 0, 'total': 4}",4,0,4,Moderate collision on residential in clear weather
68,32.681386,74.118379,2021-06-06T08:39:00,2021-06-06,08:39:00,Sunday,8,Clear,Residential,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Minor residential accident during clear conditions
69,32.67337,74.036346,2020-12-09T03:41:00,2020-12-09,03:41:00,Wednesday,3,Clear,Highway,Moderate,"{'injured': 3, 'dead': 0, 'total': 3}",3,0,2,Moderate collision on highway in clear weather
70,32.675928,74.055651,2025-02-05T02:20:00,2025-02-05,02:20:00,Wednesday,2,Clear,Intersection,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor intersection accident during clear conditions
71,32.583998,74.071999,2020-12-01T01:30:00,2020-12-01,01:30:00,Tuesday,1,Rain,Residential,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Minor residential accident during rain conditions
72,32.598987,74.110408,2020-06-13T09:48:00,2020-06-13,09:48:00,Saturday,9,Clear,Intersection,Fatal,"{'injured': 1, 'dead': 2, 'total': 3}",1,2,2,Fatal accident on intersection during clear weather
73,32.604301,74.115125,2025-04-23T20:42:00,2025-04-23,20:42:00,Wednesday,20,Clear,Arterial,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor arterial accident during clear conditions
74,32.692944,74.02162,2021-04-14T15:49:00,2021-04-14,15:49:00,Wednesday,15,Clear,Arterial,Severe,"{'injured': 2, 'dead': 1, 'total': 3}",2,1,4,Severe accident on arterial with clear conditions
75,32.597038,74.12545,2024-06-12T22:45:00,2024-06-12,22:45:00,Wednesday,22,Clear,Highway,Severe,"{'injured': 8, 'dead': 2, 'total': 10}",8,2,1,Severe accident on highway with clear conditions
76,32.632304,74.013791,2020-06-17T10:22:00,2020-06-17,10:22:00,Wednesday,10,Rain,Highway,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor highway accident during rain conditions
77,32.586705,74.072438,2020-02-21T22:54:00,2020-02-21,22:54:00,Friday,22,Fog,Arterial,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor arterial accident during fog conditions
78,32.554016,74.16164,2024-11-18T11:11:00,2024-11-18,11:11:00,Monday,11,Fog,Rural,Fatal,"{'injured': 4, 'dead': 4, 'total': 8}",4,4,4,Fatal accident on rural during fog weather
79,32.553679,74.170343,2024-11-19T19:52:00,2024-11-19,19:52:00,Tuesday,19,Rain,Highway,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor highway accident during rain conditions
80,32.61397,74.133638,2025-01-20T06:15:00,2025-01-20,06:15:00,Monday,6,Clear,Residential,Moderate,"{'injured': 3, 'dead': 1, 'total': 4}",3,1,3,Moderate collision on residential in clear weather
81,32.546807,74.157606,2022-01-14T17:31:00,2022-01-14,17:31:00,Friday,17,Clear,Residential,Fatal,"{'injured': 5, 'dead': 3, 'total': 8}",5,3,1,Fatal accident on residential during clear weather
82,32.679772,74.105163,2025-10-17T16:12:00,2025-10-17,16:12:00,Friday,16,Rain,Highway,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor highway accident during rain conditions
83,32.603088,74.114866,2025-07-03T09:28:00,2025-07-03,09:28:00,Thursday,9,Fog,Highway,Fatal,"{'injured': 5, 'dead': 3, 'total': 8}",5,3,4,Fatal accident on highway during fog weather
84,32.649187,74.066158,2025-12-14T03:22:00,2025-12-14,03:22:00,Sunday,3,Clear,Highway,Fatal,"{'injured': 5, 'dead': 4, 'total': 9}",5,4,3,Fatal accident on highway during clear weather
85,32.56311,74.148576,2023-06-09T00:16:00,2023-06-09,00:16:00,Friday,0,Fog,Arterial,Severe,"{'injured': 8, 'dead': 2, 'total': 10}",8,2,2,Severe accident on arterial with fog conditions
86,32.5553,74.117917,2022-02-23T12:13:00,2022-02-23,12:13:00,Wednesday,12,Rain,Intersection,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor intersection accident during rain conditions
87,32.602218,74.116045,2021-02-15T20:53:00,2021-02-15,20:53:00,Monday,20,Clear,Intersection,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Minor intersection accident during clear conditions
88,32.610672,74.139483,2023-01-28T14:02:00,2023-01-28,14:02:00,Saturday,14,Rain,Residential,Moderate,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,4,Moderate collision on residential in rain weather
89,32.549388,74.148809,2021-02-24T21:55:00,2021-02-24,21:55:00,Wednesday,21,Cloudy,Residential,Severe,"{'injured': 3, 'dead': 0, 'total': 3}",3,0,3,Severe accident on residential with cloudy conditions
90,32.580141,74.014816,2025-05-10T19:07:00,2025-05-10,19:07:00,Saturday,19,Rain,Highway,Moderate,"{'injured': 1, 'dead': 1, 'total': 2}",1,1,3,Moderate collision on highway in rain weather
91,32.682126,74.105815,2020-12-14T19:15:00,2020-12-14,19:15:00,Monday,19,Cloudy,Intersection,Moderate,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,4,Moderate collision on intersection in cloudy weather
92,32.672033,74.198006,2025-01-19T17:58:00,2025-01-19,17:58:00,Sunday,17,Clear,Highway,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor highway accident during clear conditions
93,32.600293,74.111624,2021-02-10T09:48:00,2021-02-10,09:48:00,Wednesday,9,Clear,Arterial,Moderate,"{'injured': 2, 'dead': 1, 'total': 3}",2,1,1,Moderate collision on arterial in clear weather
94,32.637874,74.093982,2021-10-03T17:00:00,2021-10-03,17:00:00,Sunday,17,Clear,Arterial,Moderate,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,3,Moderate collision on arterial in clear weather
95,32.684782,74.157566,2025-02-02T08:04:00,2025-02-02,08:04:00,Sunday,8,Clear,Arterial,Moderate,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,2,Moderate collision on arterial in clear weather
96,32.629527,74.181682,2024-10-07T21:07:00,2024-10-07,21:07:00,Monday,21,Clear,Rural,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,1,Minor rural accident during clear conditions
97,32.619009,74.164848,2020-09-01T15:10:00,2020-09-01,15:10:00,Tuesday,15,Clear,Residential,Moderate,"{'injured': 3, 'dead': 0, 'total': 3}",3,0,4,Moderate collision on residential in clear weather
98,32.554449,74.107996,2023-05-30T18:44:00,2023-05-30,18:44:00,Tuesday,18,Clear,Residential,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor residential accident during clear conditions
99,32.564464,74.050074,2020-06-12T20:56:00,2020-06-12,20:56:00,Friday,20,Rain,Residential,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,1,Minor residential accident during rain conditions
100,32.553902,74.008046,2020-03-25T18:48:00,2020-03-25,18:48:00,Wednesday,18,Clear,Arterial,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor arterial accident during clear conditions
101,32.555631,74.199389,2025-10-26T13:41:00,2025-10-26,13:41:00,Sunday,13,Clear,Highway,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor highway accident during clear conditions
102,32.634027,74.171547,2021-01-08T02:30:00,2021-01-08,02:30:00,Friday,2,Heavy Rain,Arterial,Severe,"{'injured': 4, 'dead': 1, 'total': 5}",4,1,4,Severe accident on arterial with heavy rain conditions
103,32.662713,74.110019,2023-03-26T22:42:00,2023-03-26,22:42:00,Sunday,22,Rain,Arterial,Moderate,"{'injured': 4, 'dead': 1, 'total': 5}",4,1,3,Moderate collision on arterial in rain weather
104,32.580835,74.102919,2023-08-17T03:07:00,2023-08-17,03:07:00,Thursday,3,Clear,Residential,Moderate,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,4,Moderate collision on residential in clear weather
105,32.552453,74.14997,2024-08-19T07:03:00,2024-08-19,07:03:00,Monday,7,Cloudy,Highway,Moderate,"{'injured': 4, 'dead': 0, 'total': 4}",4,0,2,Moderate collision on highway in cloudy weather
106,32.672429,74.109463,2022-12-29T21:35:00,2022-12-29,21:35:00,Thursday,21,Heavy Rain,Highway,Fatal,"{'injured': 4, 'dead': 2, 'total': 6}",4,2,2,Fatal accident on highway during heavy rain weather
107,32.671864,74.109845,2023-06-26T18:35:00,2023-06-26,18:35:00,Monday,18,Rain,Rural,Moderate,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Moderate collision on rural in rain weather
108,32.558372,74.141082,2021-09-22T18:31:00,2021-09-22,18:31:00,Wednesday,18,Cloudy,Intersection,Severe,"{'injured': 5, 'dead': 1, 'total': 6}",5,1,4,Severe accident on intersection with cloudy conditions
109,32.576717,74.184374,2022-09-25T11:29:00,2022-09-25,11:29:00,Sunday,11,Clear,Intersection,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Minor intersection accident during clear conditions
110,32.670882,74.067975,2020-10-12T05:17:00,2020-10-12,05:17:00,Monday,5,Rain,Residential,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor residential accident during rain conditions
111,32.667495,74.115985,2020-01-11T20:18:00,2020-01-11,20:18:00,Saturday,20,Cloudy,Intersection,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor intersection accident during cloudy conditions
112,32.569025,74.110383,2021-08-31T17:28:00,2021-08-31,17:28:00,Tuesday,17,Clear,Arterial,Moderate,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,3,Moderate collision on arterial in clear weather
113,32.671203,74.082155,2022-02-11T09:44:00,2022-02-11,09:44:00,Friday,9,Fog,Arterial,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor arterial accident during fog conditions
114,32.658479,74.130404,2024-04-10T11:24:00,2024-04-10,11:24:00,Wednesday,11,Clear,Residential,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor residential accident during clear conditions
115,32.67394,74.174838,2020-05-31T18:08:00,2020-05-31,18:08:00,Sunday,18,Fog,Residential,Severe,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,4,Severe accident on residential with fog conditions
116,32.596497,74.125631,2020-03-03T18:46:00,2020-03-03,18:46:00,Tuesday,18,Clear,Arterial,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor arterial accident during clear conditions
117,32.557047,74.157187,2024-06-16T03:41:00,2024-06-16,03:41:00,Sunday,3,Rain,Intersection,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor intersection accident during rain conditions
118,32.623492,74.046954,2025-06-21T23:55:00,2025-06-21,23:55:00,Saturday,23,Rain,Highway,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor highway accident during rain conditions
119,32.579207,74.079078,2022-07-20T20:47:00,2022-07-20,20:47:00,Wednesday,20,Cloudy,Residential,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor residential accident during cloudy conditions
120,32.56492,74.080923,2021-11-12T03:44:00,2021-11-12,03:44:00,Friday,3,Clear,Arterial,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor arterial accident during clear conditions
121,32.681319,74.10585,2024-03-15T23:27:00,2024-03-15,23:27:00,Friday,23,Rain,Residential,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,1,Minor residential accident during rain conditions
122,32.548166,74.182566,2020-11-19T20:39:00,2020-11-19,20:39:00,Thursday,20,Heavy Rain,Arterial,Fatal,"{'injured': 1, 'dead': 2, 'total': 3}",1,2,4,Fatal accident on arterial during heavy rain weather
123,32.581978,74.074305,2022-11-06T17:29:00,2022-11-06,17:29:00,Sunday,17,Clear,Arterial,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor arterial accident during clear conditions
124,32.69753,74.059831,2020-10-29T09:28:00,2020-10-29,09:28:00,Thursday,9,Rain,Rural,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor rural accident during rain conditions
125,32.699875,74.170667,2025-02-14T23:54:00,2025-02-14,23:54:00,Friday,23,Rain,Arterial,Moderate,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,3,Moderate collision on arterial in rain weather
126,32.67549,74.101319,2023-04-26T19:44:00,2023-04-26,19:44:00,Wednesday,19,Rain,Intersection,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Minor intersection accident during rain conditions
127,32.557239,74.159772,2025-07-27T19:53:00,2025-07-27,19:53:00,Sunday,19,Cloudy,Residential,Moderate,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,2,Moderate collision on residential in cloudy weather
128,32.607565,74.128068,2022-02-17T10:39:00,2022-02-17,10:39:00,Thursday,10,Cloudy,Highway,Severe,"{'injured': 7, 'dead': 0, 'total': 7}",7,0,3,Severe accident on highway with cloudy conditions
129,32.646472,74.018027,2024-12-10T01:02:00,2024-12-10,01:02:00,Tuesday,1,Clear,Rural,Severe,"{'injured': 4, 'dead': 1, 'total': 5}",4,1,4,Severe accident on rural with clear conditions
130,32.550617,74.15827,2021-12-20T06:12:00,2021-12-20,06:12:00,Monday,6,Rain,Rural,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor rural accident during rain conditions
131,32.556085,74.149367,2025-05-27T20:51:00,2025-05-27,20:51:00,Tuesday,20,Cloudy,Arterial,Moderate,"{'injured': 1, 'dead': 1, 'total': 2}",1,1,2,Moderate collision on arterial in cloudy weather
132,32.573155,74.158136,2024-06-15T08:54:00,2024-06-15,08:54:00,Saturday,8,Clear,Intersection,Severe,"{'injured': 2, 'dead': 1, 'total': 3}",2,1,1,Severe accident on intersection with clear conditions
