id,latitude,longitude,datetime,date,time,day_of_week,hour,weather,road_type,severity,casualties,injuries,fatalities,vehicles_involved,description
22,32.5615005,74.0806009,2020-01-30T18:04:00,1/30/2020,18:04:00,Thursday,18,Rain,Arterial,Moderate,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Moderate collision on arterial in rain weather
23,32.5730725,74.1005044,2025-10-06T16:15:00,10/6/2025,16:15:00,Monday,16,Clear,Intersection,Fatal,"{'injured': 4, 'dead': 4, 'total': 8}",4,4,2,Fatal accident on intersection during clear weather
24,32.6377717,74.1958929,2025-04-21T18:51:00,4/21/2025,18:51:00,Monday,18,Clear,Highway,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor highway accident during clear conditions
25,32.5730725,74.1005044,2024-08-10T18:29:00,8/10/2024,18:29:00,Saturday,18,Clear,Highway,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Minor highway accident during clear conditions
26,32.5730725,74.1005044,2020-09-05T20:25:00,9/5/2020,20:25:00,Saturday,20,Clear,Residential,Moderate,"{'injured': 2, 'dead': 1, 'total': 3}",2,1,4,Moderate collision on residential in clear weather
27,32.5640348,74.0575465,2021-07-28T05:27:00,7/28/2021,5:27:00,Wednesday,5,Rain,Highway,Moderate,"{'injured': 4, 'dead': 0, 'total': 4}",4,0,1,Moderate collision on highway in rain weather
28,32.6377717,74.1958929,2020-07-26T21:41:00,7/26/2020,21:41:00,Sunday,21,Rain,Intersection,Moderate,"{'injured': 2, 'dead': 1, 'total': 3}",2,1,4,Moderate collision on intersection in rain weather
29,32.6377717,74.1958929,2025-05-25T17:13:00,5/25/2025,17:13:00,Sunday,17,Clear,Arterial,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor arterial accident during clear conditions
30,32.6377717,74.1958929,2022-12-22T07:59:00,12/22/2022,7:59:00,Thursday,7,Clear,Arterial,Severe,"{'injured': 7, 'dead': 2, 'total': 9}",7,2,4,Severe accident on arterial with clear conditions
31,32.5730725,74.1005044,2021-09-26T04:12:00,9/26/2021,4:12:00,Sunday,4,Clear,Arterial,Severe,"{'injured': 7, 'dead': 1, 'total': 8}",7,1,1,Severe accident on arterial with clear conditions
32,32.5615005,74.0806009,2020-07-24T17:37:00,7/24/2020,17:37:00,Friday,17,Clear,Arterial,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,1,Minor arterial accident during clear conditions
33,32.5615005,74.0806009,2022-01-31T06:04:00,1/31/2022,6:04:00,Monday,6,Rain,Residential,Moderate,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Moderate collision on residential in rain weather
34,32.5730725,74.1005044,2020-06-11T08:39:00,6/11/2020,8:39:00,Thursday,8,Clear,Highway,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor highway accident during clear conditions
35,32.5730725,74.1005044,2022-09-04T16:16:00,9/4/2022,16:16:00,Sunday,16,Clear,Arterial,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor arterial accident during clear conditions
36,32.6377717,74.1958929,2020-02-08T07:29:00,2/8/2020,7:29:00,Saturday,7,Rain,Highway,Moderate,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,3,Moderate collision on highway in rain weather
37,32.5730725,74.1005044,2021-06-26T23:59:00,6/26/2021,23:59:00,Saturday,23,Clear,Arterial,Fatal,"{'injured': 2, 'dead': 2, 'total': 4}",2,2,4,Fatal accident on arterial during clear weather
38,32.5730725,74.1005044,2023-05-24T01:39:00,5/24/2023,1:39:00,Wednesday,1,Clear,Residential,Moderate,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,1,Moderate collision on residential in clear weather
39,32.5615005,74.0806009,2021-07-04T15:16:00,7/4/2021,15:16:00,Sunday,15,Clear,Residential,Moderate,"{'injured': 3, 'dead': 0, 'total': 3}",3,0,3,Moderate collision on residential in clear weather
40,32.5730725,74.1005044,2022-04-13T03:43:00,4/13/2022,3:43:00,Wednesday,3,Clear,Intersection,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,1,Minor intersection accident during clear conditions
41,32.5615005,74.0806009,2024-09-30T12:53:00,9/30/2024,12:53:00,Monday,12,Heavy Rain,Intersection,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor intersection accident during heavy rain conditions
42,32.5730725,74.1005044,2024-10-17T19:35:00,10/17/2024,19:35:00,Thursday,19,Clear,Residential,Moderate,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,3,Moderate collision on residential in clear weather
43,32.5730725,74.1005044,2021-08-29T20:27:00,8/29/2021,20:27:00,Sunday,20,Clear,Residential,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor residential accident during clear conditions
44,32.5730725,74.1005044,2022-05-10T19:43:00,5/10/2022,19:43:00,Tuesday,19,Clear,Intersection,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor intersection accident during clear conditions
45,32.5730725,74.1005044,2022-08-27T09:55:00,8/27/2022,9:55:00,Saturday,9,Rain,Residential,Severe,"{'injured': 7, 'dead': 1, 'total': 8}",7,1,4,Severe accident on residential with rain conditions
46,32.5615005,74.0806009,2022-10-13T18:17:00,10/13/2022,18:17:00,Thursday,18,Clear,Residential,Moderate,"{'injured': 4, 'dead': 0, 'total': 4}",4,0,4,Moderate collision on residential in clear weather
47,32.5730725,74.1005044,2023-12-03T07:19:00,12/3/2023,7:19:00,Sunday,7,Clear,Arterial,Fatal,"{'injured': 5, 'dead': 2, 'total': 7}",5,2,4,Fatal accident on arterial during clear weather
48,32.5730725,74.1005044,2023-09-06T08:17:00,9/6/2023,8:17:00,Wednesday,8,Snow,Intersection,Severe,"{'injured': 5, 'dead': 2, 'total': 7}",5,2,3,Severe accident on intersection with snow conditions
49,32.5730725,74.1005044,2020-04-23T17:07:00,4/23/2020,17:07:00,Thursday,17,Clear,Residential,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor residential accident during clear conditions
50,32.5730725,74.1005044,2021-03-20T20:38:00,3/20/2021,20:38:00,Saturday,20,Cloudy,Residential,Moderate,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,1,Moderate collision on residential in cloudy weather
51,32.5640348,74.0575465,2024-04-26T03:57:00,4/26/2024,3:57:00,Friday,3,Clear,Residential,Severe,"{'injured': 2, 'dead': 2, 'total': 4}",2,2,2,Severe accident on residential with clear conditions
52,32.5615005,74.0806009,2024-01-31T00:27:00,1/31/2024,0:27:00,Wednesday,0,Clear,Highway,Moderate,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,3,Moderate collision on highway in clear weather
53,32.5615005,74.0806009,2025-09-08T06:19:00,9/8/2025,6:19:00,Monday,6,Rain,Residential,Moderate,"{'injured': 5, 'dead': 1, 'total': 6}",5,1,4,Moderate collision on residential in rain weather
54,32.5730725,74.1005044,2024-04-01T07:43:00,4/1/2024,7:43:00,Monday,7,Fog,Highway,Severe,"{'injured': 4, 'dead': 1, 'total': 5}",4,1,2,Severe accident on highway with fog conditions
55,32.5640348,74.0575465,2024-10-26T09:50:00,10/26/2024,9:50:00,Saturday,9,Fog,Arterial,Moderate,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Moderate collision on arterial in fog weather
56,32.5615005,74.0806009,2020-12-13T15:18:00,12/13/2020,15:18:00,Sunday,15,Rain,Arterial,Moderate,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Moderate collision on arterial in rain weather
57,32.5730725,74.1005044,2022-03-26T17:09:00,3/26/2022,17:09:00,Saturday,17,Heavy Rain,Intersection,Moderate,"{'injured': 4, 'dead': 0, 'total': 4}",4,0,2,Moderate collision on intersection in heavy rain weather
58,32.5615005,74.0806009,2024-04-21T11:31:00,4/21/2024,11:31:00,Sunday,11,Clear,Residential,Moderate,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Moderate collision on residential in clear weather
59,32.5730725,74.1005044,2021-12-21T20:51:00,12/21/2021,20:51:00,Tuesday,20,Clear,Residential,Moderate,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Moderate collision on residential in clear weather
60,32.5842125,74.1548242,2025-02-12T19:08:00,2/12/2025,19:08:00,Wednesday,19,Clear,Arterial,Fatal,"{'injured': 4, 'dead': 3, 'total': 7}",4,3,4,Fatal accident on arterial during clear weather
61,32.5730725,74.1005044,2025-08-29T08:27:00,8/29/2025,8:27:00,Friday,8,Cloudy,Rural,Moderate,"{'injured': 4, 'dead': 0, 'total': 4}",4,0,2,Moderate collision on rural in cloudy weather
62,32.5842125,74.1548242,2023-02-09T09:49:00,2/9/2023,9:49:00,Thursday,9,Rain,Rural,Moderate,"{'injured': 4, 'dead': 1, 'total': 5}",4,1,3,Moderate collision on rural in rain weather
63,32.5730725,74.1005044,2022-08-18T03:17:00,8/18/2022,3:17:00,Thursday,3,Clear,Arterial,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,1,Minor arterial accident during clear conditions
64,32.629583,74.079007,2024-04-17T13:44:00,4/17/2024,13:44:00,Wednesday,13,Clear,Intersection,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor intersection accident during clear conditions
65,32.5730725,74.1005044,2024-08-30T21:03:00,8/30/2024,21:03:00,Friday,21,Clear,Residential,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Minor residential accident during clear conditions
66,32.5730725,74.1005044,2024-04-07T09:30:00,4/7/2024,9:30:00,Sunday,9,Clear,Arterial,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor arterial accident during clear conditions
67,32.5730725,74.1005044,2025-06-22T20:14:00,6/22/2025,20:14:00,Sunday,20,Clear,Residential,Moderate,"{'injured': 4, 'dead': 0, 'total': 4}",4,0,4,Moderate collision on residential in clear weather
68,32.5730725,74.1005044,2021-06-06T08:39:00,6/6/2021,8:39:00,Sunday,8,Clear,Residential,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Minor residential accident during clear conditions
69,32.5730725,74.1005044,2020-12-09T03:41:00,12/9/2020,3:41:00,Wednesday,3,Clear,Highway,Moderate,"{'injured': 3, 'dead': 0, 'total': 3}",3,0,2,Moderate collision on highway in clear weather
70,32.5730725,74.1005044,2025-02-05T02:20:00,2/5/2025,2:20:00,Wednesday,2,Clear,Intersection,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor intersection accident during clear conditions
71,32.5730725,74.1005044,2020-12-01T01:30:00,12/1/2020,1:30:00,Tuesday,1,Rain,Residential,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Minor residential accident during rain conditions
72,32.5730725,74.1005044,2020-06-13T09:48:00,6/13/2020,9:48:00,Saturday,9,Clear,Intersection,Fatal,"{'injured': 1, 'dead': 2, 'total': 3}",1,2,2,Fatal accident on intersection during clear weather
73,32.5640348,74.0575465,2025-04-23T20:42:00,4/23/2025,20:42:00,Wednesday,20,Clear,Arterial,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor arterial accident during clear conditions
74,32.5730725,74.1005044,2021-04-14T15:49:00,4/14/2021,15:49:00,Wednesday,15,Clear,Arterial,Severe,"{'injured': 2, 'dead': 1, 'total': 3}",2,1,4,Severe accident on arterial with clear conditions
75,32.6377717,74.1958929,2024-06-12T22:45:00,6/12/2024,22:45:00,Wednesday,22,Clear,Highway,Severe,"{'injured': 8, 'dead': 2, 'total': 10}",8,2,1,Severe accident on highway with clear conditions
76,32.5640348,74.0575465,2020-06-17T10:22:00,6/17/2020,10:22:00,Wednesday,10,Rain,Highway,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor highway accident during rain conditions
77,32.5730725,74.1005044,2020-02-21T22:54:00,2/21/2020,22:54:00,Friday,22,Fog,Arterial,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor arterial accident during fog conditions
78,32.5615005,74.0806009,2024-11-18T11:11:00,11/18/2024,11:11:00,Monday,11,Fog,Rural,Fatal,"{'injured': 4, 'dead': 4, 'total': 8}",4,4,4,Fatal accident on rural during fog weather
79,32.6377717,74.1958929,2024-11-19T19:52:00,11/19/2024,19:52:00,Tuesday,19,Rain,Highway,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor highway accident during rain conditions
80,32.5730725,74.1005044,2025-01-20T06:15:00,1/20/2025,6:15:00,Monday,6,Clear,Residential,Moderate,"{'injured': 3, 'dead': 1, 'total': 4}",3,1,3,Moderate collision on residential in clear weather
81,32.6377717,74.1958929,2022-01-14T17:31:00,1/14/2022,17:31:00,Friday,17,Clear,Residential,Fatal,"{'injured': 5, 'dead': 3, 'total': 8}",5,3,1,Fatal accident on residential during clear weather
82,32.5615005,74.0806009,2025-10-17T16:12:00,10/17/2025,16:12:00,Friday,16,Rain,Highway,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor highway accident during rain conditions
83,32.629583,74.079007,2025-07-03T09:28:00,7/3/2025,9:28:00,Thursday,9,Fog,Highway,Fatal,"{'injured': 5, 'dead': 3, 'total': 8}",5,3,4,Fatal accident on highway during fog weather
84,32.5730725,74.1005044,2025-12-14T03:22:00,12/14/2025,3:22:00,Sunday,3,Clear,Highway,Fatal,"{'injured': 5, 'dead': 4, 'total': 9}",5,4,3,Fatal accident on highway during clear weather
85,32.5730725,74.1005044,2023-06-09T00:16:00,6/9/2023,0:16:00,Friday,0,Fog,Arterial,Severe,"{'injured': 8, 'dead': 2, 'total': 10}",8,2,2,Severe accident on arterial with fog conditions
86,32.5730725,74.1005044,2022-02-23T12:13:00,2/23/2022,12:13:00,Wednesday,12,Rain,Intersection,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor intersection accident during rain conditions
87,32.5730725,74.1005044,2021-02-15T20:53:00,2/15/2021,20:53:00,Monday,20,Clear,Intersection,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Minor intersection accident during clear conditions
88,32.5730725,74.1005044,2023-01-28T14:02:00,1/28/2023,14:02:00,Saturday,14,Rain,Residential,Moderate,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,4,Moderate collision on residential in rain weather
89,32.629583,74.079007,2021-02-24T21:55:00,2/24/2021,21:55:00,Wednesday,21,Cloudy,Residential,Severe,"{'injured': 3, 'dead': 0, 'total': 3}",3,0,3,Severe accident on residential with cloudy conditions
90,32.5730725,74.1005044,2025-05-10T19:07:00,5/10/2025,19:07:00,Saturday,19,Rain,Highway,Moderate,"{'injured': 1, 'dead': 1, 'total': 2}",1,1,3,Moderate collision on highway in rain weather
91,32.5730725,74.1005044,2020-12-14T19:15:00,12/14/2020,19:15:00,Monday,19,Cloudy,Intersection,Moderate,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,4,Moderate collision on intersection in cloudy weather
92,32.6377717,74.1958929,2025-01-19T17:58:00,1/19/2025,17:58:00,Sunday,17,Clear,Highway,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor highway accident during clear conditions
93,32.5679042,74.1517651,2021-02-10T09:48:00,2/10/2021,9:48:00,Wednesday,9,Clear,Arterial,Moderate,"{'injured': 2, 'dead': 1, 'total': 3}",2,1,1,Moderate collision on arterial in clear weather
94,32.5679042,74.1517651,2021-10-03T17:00:00,10/3/2021,17:00:00,Sunday,17,Clear,Arterial,Moderate,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,3,Moderate collision on arterial in clear weather
95,32.5615005,74.0806009,2025-02-02T08:04:00,2/2/2025,8:04:00,Sunday,8,Clear,Arterial,Moderate,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,2,Moderate collision on arterial in clear weather
96,32.5730725,74.1005044,2024-10-07T21:07:00,10/7/2024,21:07:00,Monday,21,Clear,Rural,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,1,Minor rural accident during clear conditions
97,32.5730725,74.1005044,2020-09-01T15:10:00,9/1/2020,15:10:00,Tuesday,15,Clear,Residential,Moderate,"{'injured': 3, 'dead': 0, 'total': 3}",3,0,4,Moderate collision on residential in clear weather
98,32.5730725,74.1005044,2023-05-30T18:44:00,5/30/2023,18:44:00,Tuesday,18,Clear,Residential,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor residential accident during clear conditions
99,32.5730725,74.1005044,2020-06-12T20:56:00,6/12/2020,20:56:00,Friday,20,Rain,Residential,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,1,Minor residential accident during rain conditions
100,32.6377717,74.1958929,2020-03-25T18:48:00,3/25/2020,18:48:00,Wednesday,18,Clear,Arterial,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor arterial accident during clear conditions
101,32.5730725,74.1005044,2025-10-26T13:41:00,10/26/2025,13:41:00,Sunday,13,Clear,Highway,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor highway accident during clear conditions
102,32.5730725,74.1005044,2021-01-08T02:30:00,1/8/2021,2:30:00,Friday,2,Heavy Rain,Arterial,Severe,"{'injured': 4, 'dead': 1, 'total': 5}",4,1,4,Severe accident on arterial with heavy rain conditions
103,32.6377717,74.1958929,2023-03-26T22:42:00,3/26/2023,22:42:00,Sunday,22,Rain,Arterial,Moderate,"{'injured': 4, 'dead': 1, 'total': 5}",4,1,3,Moderate collision on arterial in rain weather
104,32.5730725,74.1005044,2023-08-17T03:07:00,8/17/2023,3:07:00,Thursday,3,Clear,Residential,Moderate,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,4,Moderate collision on residential in clear weather
105,32.5730725,74.1005044,2024-08-19T07:03:00,8/19/2024,7:03:00,Monday,7,Cloudy,Highway,Moderate,"{'injured': 4, 'dead': 0, 'total': 4}",4,0,2,Moderate collision on highway in cloudy weather
106,32.5730725,74.1005044,2022-12-29T21:35:00,12/29/2022,21:35:00,Thursday,21,Heavy Rain,Highway,Fatal,"{'injured': 4, 'dead': 2, 'total': 6}",4,2,2,Fatal accident on highway during heavy rain weather
107,32.5730725,74.1005044,2023-06-26T18:35:00,6/26/2023,18:35:00,Monday,18,Rain,Rural,Moderate,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Moderate collision on rural in rain weather
108,32.5730725,74.1005044,2021-09-22T18:31:00,9/22/2021,18:31:00,Wednesday,18,Cloudy,Intersection,Severe,"{'injured': 5, 'dead': 1, 'total': 6}",5,1,4,Severe accident on intersection with cloudy conditions
109,32.5730725,74.1005044,2022-09-25T11:29:00,9/25/2022,11:29:00,Sunday,11,Clear,Intersection,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Minor intersection accident during clear conditions
110,32.5730725,74.1005044,2020-10-12T05:17:00,10/12/2020,5:17:00,Monday,5,Rain,Residential,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor residential accident during rain conditions
111,32.5730725,74.1005044,2020-01-11T20:18:00,1/11/2020,20:18:00,Saturday,20,Cloudy,Intersection,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor intersection accident during cloudy conditions
112,32.5615005,74.0806009,2021-08-31T17:28:00,8/31/2021,17:28:00,Tuesday,17,Clear,Arterial,Moderate,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,3,Moderate collision on arterial in clear weather
113,32.5730725,74.1005044,2022-02-11T09:44:00,2/11/2022,9:44:00,Friday,9,Fog,Arterial,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor arterial accident during fog conditions
114,32.5730725,74.1005044,2024-04-10T11:24:00,4/10/2024,11:24:00,Wednesday,11,Clear,Residential,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor residential accident during clear conditions
115,32.5730725,74.1005044,2020-05-31T18:08:00,5/31/2020,18:08:00,Sunday,18,Fog,Residential,Severe,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,4,Severe accident on residential with fog conditions
116,32.6377717,74.1958929,2020-03-03T18:46:00,3/3/2020,18:46:00,Tuesday,18,Clear,Arterial,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor arterial accident during clear conditions
117,32.5730725,74.1005044,2024-06-16T03:41:00,6/16/2024,3:41:00,Sunday,3,Rain,Intersection,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor intersection accident during rain conditions
118,32.5730725,74.1005044,2025-06-21T23:55:00,6/21/2025,23:55:00,Saturday,23,Rain,Highway,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor highway accident during rain conditions
119,32.6377717,74.1958929,2022-07-20T20:47:00,7/20/2022,20:47:00,Wednesday,20,Cloudy,Residential,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor residential accident during cloudy conditions
120,32.5730725,74.1005044,2021-11-12T03:44:00,11/12/2021,3:44:00,Friday,3,Clear,Arterial,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor arterial accident during clear conditions
121,32.5730725,74.1005044,2024-03-15T23:27:00,3/15/2024,23:27:00,Friday,23,Rain,Residential,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,1,Minor residential accident during rain conditions
122,32.629583,74.079007,2020-11-19T20:39:00,11/19/2020,20:39:00,Thursday,20,Heavy Rain,Arterial,Fatal,"{'injured': 1, 'dead': 2, 'total': 3}",1,2,4,Fatal accident on arterial during heavy rain weather
123,32.5842125,74.1548242,2022-11-06T17:29:00,11/6/2022,17:29:00,Sunday,17,Clear,Arterial,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor arterial accident during clear conditions
124,32.5730725,74.1005044,2020-10-29T09:28:00,10/29/2020,9:28:00,Thursday,9,Rain,Rural,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor rural accident during rain conditions
125,32.5730725,74.1005044,2025-02-14T23:54:00,2/14/2025,23:54:00,Friday,23,Rain,Arterial,Moderate,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,3,Moderate collision on arterial in rain weather
126,32.5730725,74.1005044,2023-04-26T19:44:00,4/26/2023,19:44:00,Wednesday,19,Rain,Intersection,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Minor intersection accident during rain conditions
127,32.5730725,74.1005044,2025-07-27T19:53:00,7/27/2025,19:53:00,Sunday,19,Cloudy,Residential,Moderate,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,2,Moderate collision on residential in cloudy weather
128,32.5730725,74.1005044,2022-02-17T10:39:00,2/17/2022,10:39:00,Thursday,10,Cloudy,Highway,Severe,"{'injured': 7, 'dead': 0, 'total': 7}",7,0,3,Severe accident on highway with cloudy conditions
129,32.5730725,74.1005044,2024-12-10T01:02:00,12/10/2024,1:02:00,Tuesday,1,Clear,Rural,Severe,"{'injured': 4, 'dead': 1, 'total': 5}",4,1,4,Severe accident on rural with clear conditions
130,32.5730725,74.1005044,2021-12-20T06:12:00,12/20/2021,6:12:00,Monday,6,Rain,Rural,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor rural accident during rain conditions
